---- Log cleared: Mon Nov 11 2019 10:20:13 GMT+0800 (中国标准时间) ----
584.51 12.43 0,32,5,50,16,39,11,71,57,9,37,64,10,65,58,13,52,34,6,25,66,75,74,67,3,29,1,72,62,15,2,43,31,8,38,30,54,24,49,17,23,48,22,55,63,41,40,42,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,27,47
584.51 12.43 0,72,1,29,3,67,74,75,66,25,6,34,52,13,58,65,10,64,37,9,57,71,11,39,16,50,5,32,42,40,41,63,55,22,48,23,17,49,24,54,30,38,8,31,43,2,15,62,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,27,47
577.11 232.09 0,21,63,41,40,42,72,61,27,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,29,1,67,74,75,3,66,25,11,39,16,50,5,32,55,22,48,23,17,49,24,54,30,9,37,64,65,10,58,13,52,34,6,57,71,38,8,31,43,2,15,62,5,47
582.14 14.8 0,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,72,1,29,3,67,74,75,66,25,6,34,52,13,58,65,10,64,37,9,57,71,11,39,16,50,5,32,62,15,2,43,31,8,38,30,54,24,49,17,23,48,22,55,40,41,63,42,28,55
582.14 14.8 0,42,63,41,40,55,22,48,23,17,49,24,54,30,38,8,31,43,2,15,62,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,32,5,50,16,39,11,71,57,9,37,64,10,65,58,13,52,34,6,25,66,75,74,67,3,29,1,72,20,48
584.51 12.43 0,42,40,41,63,55,22,48,23,17,49,24,54,30,38,8,31,43,2,15,62,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,32,5,50,16,39,11,71,57,9,37,64,10,65,58,13,52,34,6,25,66,75,74,67,3,29,1,72,20,48
567.69 532.74 0,72,42,32,62,15,2,43,31,8,38,71,57,11,39,16,50,5,67,1,29,3,74,75,66,25,6,34,52,13,58,65,10,64,37,9,30,54,24,49,17,23,48,22,55,40,41,63,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,1,2
576.64 260.26 0,32,5,50,16,39,11,25,66,3,75,74,67,1,29,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,27,61,72,21,42,63,41,40,55,22,48,23,17,49,24,54,30,9,37,64,65,10,58,13,52,34,6,57,71,38,8,31,43,2,15,62,42,43
592.17 2.52 0,42,40,41,63,55,22,48,23,17,49,24,54,30,11,39,16,50,5,32,72,61,27,73,20,46,47,28,44,26,51,33,45,7,18,53,12,56,14,4,36,19,69,59,70,35,68,60,21,1,29,3,67,74,75,66,25,6,34,52,13,58,65,10,64,37,9,57,71,38,8,31,43,2,15,62,20,48
596.1 0.84 0,72,1,29,3,67,74,75,66,25,6,34,52,13,58,65,10,64,37,9,57,71,11,39,16,50,5,32,21,60,68,35,70,59,69,19,36,4,14,56,12,53,18,7,45,33,51,26,44,28,47,46,20,73,27,61,55,22,48,23,17,49,24,54,30,38,8,31,43,2,15,62,63,41,40,42,27,55
